study.name,n,control,post,r,ESL,prof,scope,type
Ellis.sh1,13,FALSE,1,0.5,1,2,0,1
Ellis.sh1,13,FALSE,2,0.5,1,2,0,1
Ellis.sh1,15,FALSE,1,0.5,1,2,0,1
Ellis.sh1,15,FALSE,2,0.5,1,2,0,1
Ellis.sh1,16,TRUE,1,0.5,1,2,0,1
Ellis.sh1,16,TRUE,2,0.5,1,2,0,1
,,,,,,,,
Goey1,13,FALSE,1,0.5,0,1,1,0
Goey1,13,FALSE,2,0.5,0,1,1,0
Goey1,15,FALSE,1,0.5,0,1,1,0
Goey1,15,FALSE,2,0.5,0,1,1,0
Goey1,16,TRUE,1,0.5,0,1,1,0
Goey1,16,TRUE,2,0.5,0,1,1,0
,,,,,,,,
kabla,13,FALSE,1,0.5,1,3,0,1
kabla,13,FALSE,2,0.5,1,3,0,1
kabla,13,FALSE,3,0.5,1,3,0,1
kabla,15,FALSE,1,0.5,1,3,0,1
kabla,15,FALSE,2,0.5,1,3,0,1
kabla,15,FALSE,3,0.5,1,3,0,1
kabla,16,TRUE,1,0.5,1,3,0,1
kabla,16,TRUE,2,0.5,1,3,0,1
kabla,16,TRUE,3,0.5,1,3,0,1
